FullCardNumber,Type,Response,State,Country,Year,Exclusion,Reg_Type,Region,count_2019,Group,Day_1,Day_2,Day_3,first_visit
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,1,1,Day 2
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,,Day 1
,,,Makkah,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,,1,Day 3
,,,Makkah,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,,1,Day 3
,,,ALJOUF,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,,1,Day 3
,,,Makkah Province,Saudi Arabia,2019,,Pre-Reg,ME GCC,1,INTL,1,1,1,Day 1
,,,EASTERN PROVINCE,Saudi Arabia,2019,,Pre-Reg,ME GCC,1,INTL,1,1,1,Day 1
,,,EASTERN PROVINCE,Saudi Arabia,2019,,Pre-Reg,ME GCC,1,INTL,1,1,1,Day 1
,,,ep,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,,1,Day 3
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,1,,Day 2
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,1,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,1,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,,Day 1
,,,Riyadh,Saudi Arabia,2019,,Pre-Reg,ME GCC,1,INTL,1,1,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,1,,Day 2
,,,Mekkah,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,,1,Day 3
,,,Makkah,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,1,Day 1
,,,Riyadh,Saudi Arabia,2019,,Pre-Reg,ME GCC,1,INTL,1,1,,Day 1
,,,EASTERN PROVINCE,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,,Day 1
,,,Makkah,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,1,,Day 1
,,,EASTERN PROVINCE,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,,,Day 1
,,,Makkah,Saudi Arabia,2019,,Pre-Reg,ME GCC,1,INTL,1,1,1,Day 1
,,,Central,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,,1,1,Day 2
,,,CENTRAL PROVINCE,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,1,1,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,1,,Day 1
,,,Dubai,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,1,1,Day 1
,,,Makkah,Saudi Arabia,2019,inc,Pre-Reg,ME GCC,1,INTL,1,1,,Day 1
,,,Riyadh,Saudi Arabia,2019,inc,Onsite,ME GCC,1,INTL,1,,,Day 1
